
 new epsilon : 

 new epsilon : 
0.0001, 0.2, 1, -2.742836557639612
0.0001, 0.2, 2, -2.636844446534103
0.0001, 0.2, 10, -2.0799241317338755
0.0001, 0.2, 100, -1.422640722095192
0.0001, 0.2, 1000.0, -1.3256994972447966
0.0001, 0.2, 10000.0, -0.317637789182857
0.0001, 0.2, 100000.0, -0.024739985982211943
0.0001, 0.2, 1000000.0, -0.009280200654185222

 new epsilon : 
0.0001, 0.5, 1, -2.742836557639612
0.0001, 0.5, 2, -2.636844446534103
0.0001, 0.5, 10, -2.0799241317338755
0.0001, 0.5, 100, -1.422640722095192
0.0001, 0.5, 1000.0, -1.3256994972447966
0.0001, 0.5, 10000.0, -0.317637789182857
0.0001, 0.5, 100000.0, -0.024739985982211943
0.0001, 0.5, 1000000.0, -0.009280200654185222

 new epsilon : 
0.001, 0.0001, 1, -2.742836557639612
0.001, 0.0001, 2, -2.636844446534103
0.001, 0.0001, 10, -2.0799241317338755
0.001, 0.0001, 100, -1.422640722095192
0.001, 0.0001, 1000.0, -1.3256994972447966
0.001, 0.0001, 10000.0, -0.317637789182857
0.001, 0.0001, 100000.0, -0.024739985982211943
0.001, 0.0001, 1000000.0, -0.009280200654185222

 new epsilon : 
0.001, 0.001, 1, -2.742836557639612
0.001, 0.001, 2, -2.636844446534103
0.001, 0.001, 10, -2.0799241317338755
0.001, 0.001, 100, -1.422640722095192
0.001, 0.001, 1000.0, -1.3256994972447966
0.001, 0.001, 10000.0, -0.317637789182857
0.001, 0.001, 100000.0, -0.024739985982211943
0.001, 0.001, 1000000.0, -0.009280200654185222

 new epsilon : 
0.001, 0.01, 1, -2.742836557639612
0.001, 0.01, 2, -2.636844446534103
0.001, 0.01, 10, -2.0799241317338755
0.001, 0.01, 100, -1.422640722095192
0.001, 0.01, 1000.0, -1.3256994972447966
0.001, 0.01, 10000.0, -0.317637789182857
0.001, 0.01, 100000.0, -0.024739985982211943
0.001, 0.01, 1000000.0, -0.009280200654185222

 new epsilon : 
0.001, 0.1, 1, -2.742836557639612
0.001, 0.1, 2, -2.636844446534103
0.001, 0.1, 10, -2.0799241317338755
0.001, 0.1, 100, -1.422640722095192
0.001, 0.1, 1000.0, -1.3256994972447966
0.001, 0.1, 10000.0, -0.317637789182857
0.001, 0.1, 100000.0, -0.024739985982211943
0.001, 0.1, 1000000.0, -0.009280200654185222

 new epsilon : 
0.001, 0.1, 1, -2.742836557639612
0.001, 0.1, 2, -2.636844446534103
0.001, 0.1, 10, -2.0799241317338755
0.001, 0.1, 100, -1.422640722095192
0.001, 0.1, 1000.0, -1.3256994972447966
0.001, 0.1, 10000.0, -0.317637789182857
0.001, 0.1, 100000.0, -0.024739985982211943
0.001, 0.1, 1000000.0, -0.009280200654185222

 new epsilon : 
0.001, 0.2, 1, -2.742836557639612
0.001, 0.2, 2, -2.636844446534103
0.001, 0.2, 10, -2.0799241317338755
0.001, 0.2, 100, -1.422640722095192
0.001, 0.2, 1000.0, -1.3256994972447966
0.001, 0.2, 10000.0, -0.317637789182857
0.001, 0.2, 100000.0, -0.024739985982211943
0.001, 0.2, 1000000.0, -0.009280200654185222

 new epsilon : 
0.001, 0.5, 1, -2.742836557639612
0.0001, 0.0001, 1, -2.742836557639612
0.0001, 0.0001, 2, -2.636844446534103
0.0001, 0.0001, 10, -2.0799241317338755
0.0001, 0.0001, 100, -1.422640722095192
0.0001, 0.0001, 1000.0, -1.3256994972447966
0.0001, 0.0001, 10000.0, -0.317637789182857
0.0001, 0.0001, 100000.0, -0.024739985982211943
0.0001, 0.0001, 1000000.0, -0.009280200654185222
0.0001, 0.001, 1, -2.742836557639612
0.0001, 0.001, 2, -2.636844446534103
0.0001, 0.001, 10, -2.0799241317338755
0.0001, 0.001, 100, -1.422640722095192
0.0001, 0.001, 1000.0, -1.3256994972447966
0.0001, 0.001, 10000.0, -0.317637789182857
0.0001, 0.001, 100000.0, -0.024739985982211943
0.0001, 0.001, 1000000.0, -0.009280200654185222
0.0001, 0.01, 1, -2.742836557639612
0.0001, 0.01, 2, -2.636844446534103
0.0001, 0.01, 10, -2.0799241317338755
0.0001, 0.01, 100, -1.422640722095192
0.0001, 0.01, 1000.0, -1.3256994972447966
0.0001, 0.01, 10000.0, -0.317637789182857
0.0001, 0.01, 100000.0, -0.024739985982211943
0.0001, 0.01, 1000000.0, -0.009280200654185222
0.0001, 0.1, 1, -2.742836557639612
0.0001, 0.1, 2, -2.636844446534103
0.0001, 0.1, 10, -2.0799241317338755
0.0001, 0.1, 100, -1.422640722095192
0.0001, 0.1, 1000.0, -1.3256994972447966
0.0001, 0.1, 10000.0, -0.317637789182857
0.0001, 0.1, 100000.0, -0.024739985982211943
0.0001, 0.1, 1000000.0, -0.009280200654185222
0.0001, 0.1, 1, -2.742836557639612
0.0001, 0.1, 2, -2.636844446534103
0.0001, 0.1, 10, -2.0799241317338755
